GRADO / GRADUA;IKASTURTEA / CURSO;GRUPO;HIZKUNTZA / LENGUA;IRAKASGAIA / ASIGNATURA
ESTUDIOS INGLESES / INGELES IKASKETAK;1;16;CASTELLANO;LITERATURA GRECO-LATINA
ESTUDIOS INGLESES / INGELES IKASKETAK;1;31;EUSKARA;GREKOLATINDAR LITERATURA
ESTUDIOS INGLESES / INGELES IKASKETAK;2;66;INGELESA;HISTORIA Y CULTURA DE LOS PAÍSES DE HABLA INGLESA
ESTUDIOS INGLESES / INGELES IKASKETAK;3;66;INGELESA;LITERATURA INGLESA II
ESTUDIOS INGLESES / INGELES IKASKETAK;4;66;INGELESA;LITERATURA NORTEAMERICANA II
ESTUDIOS VASCOS / EUSKAL IKASKETAK;1;46;EUSKARA;EUSKAL GRAMATIKA I
ESTUDIOS VASCOS / EUSKAL IKASKETAK;2;46;EUSKARA;EUSKAL TESTUAK I
ESTUDIOS VASCOS / EUSKAL IKASKETAK;3;46;EUSKARA;TIPOLOGIA
ESTUDIOS VASCOS / EUSKAL IKASKETAK;4;46;EUSKARA;EUSKAL LEXIKOLOGIA ETA LEXIKOGRAFIA
FILOLOGÍA (ALEMANA) / FILOLOGIA (ALEMANIERA);2;16;CASTELLANO;LENGUA ALEMANA III
FILOLOGÍA (ALEMANA) / FILOLOGIA (ALEMANIERA);3;16;CASTELLANO;LENGUA ALEMANA V
FILOLOGÍA (ALEMANA) / FILOLOGIA (ALEMANIERA);4;16;CASTELLANO;LINGUISTICA ALEMANA III: SINTAXIS
FILOLOGÍA (CLÁSICA) / FILOLOGIA (KLASIKOA);1;16;CASTELLANO;LENGUA LATINA I
FILOLOGÍA (CLÁSICA) / FILOLOGIA (KLASIKOA);2;16;CASTELLANO;LENGUA GRIEGA III
FILOLOGÍA (CLÁSICA) / FILOLOGIA (KLASIKOA);3;16;CASTELLANO;TEXTOS LATINOS I
FILOLOGÍA (CLÁSICA) / FILOLOGIA (KLASIKOA);4;16;CASTELLANO;LINGÜÍSTICA INDOEUROPEA
FILOLOGÍA (FRANCESA) / FILOLOGIA (FRANTSESA);1;16;CASTELLANO;FRANCÉS I
FILOLOGÍA (FRANCESA) / FILOLOGIA (FRANTSESA);2;16;CASTELLANO;FRANCÉS III
FILOLOGÍA (FRANCESA) / FILOLOGIA (FRANTSESA);3;16;CASTELLANO;CULTURA FRANCESA CLÁSICA
FILOLOGÍA (FRANCESA) / FILOLOGIA (FRANTSESA);4;16;CASTELLANO;CULTURA Y CIVILIZACIONES FRANCÓFONAS
FILOLOGÍA (HISPÁNICA) / FILOLOGIA (HISPANIKOA);1;16;CASTELLANO;INTRODUCCIÓN A LOS ESTUDIOS HISPÁNICOS
FILOLOGÍA (HISPÁNICA) / FILOLOGIA (HISPANIKOA);2;16;CASTELLANO;LENGUA ESPAÑOLA I: FONÉTICA Y FONOLOGÍA
FILOLOGÍA (HISPÁNICA) / FILOLOGIA (HISPANIKOA);3;16;CASTELLANO;LENGUA ESPAÑOLA III: LEXICOLOGÍA Y SEMÁNTICA
FILOLOGÍA (HISPÁNICA) / FILOLOGIA (HISPANIKOA);4;16;CASTELLANO;LENGUA ESPAÑOLA IV: ANÁLISIS DEL DISCURSO
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO / GEOGRAFIA ETA LURRALDE ANTOLAKUNTZA;1;16;CASTELLANO;CARTOGRAFÍA BÁSICA
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO / GEOGRAFIA ETA LURRALDE ANTOLAKUNTZA;2;46;EUSKARA;GEOGRAFIA INFORMAZIOKO SISTEMAK
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO / GEOGRAFIA ETA LURRALDE ANTOLAKUNTZA;3;31;EUSKARA;HIRI GEOGRAFIA
GEOGRAFÍA Y ORDENACIÓN DEL TERRITORIO / GEOGRAFIA ETA LURRALDE ANTOLAKUNTZA;4;31;EUSKARA;LURRALDE ANTOLAKUNTZA, INGURUMEN LEGERIA ETA ADMINISTRAZIOA
HISTORIA / HISTORIA;1;16;CASTELLANO;SOCIEDADES CAZADORAS Y RECOLECTORAS EN LA PREHISTORIA
HISTORIA / HISTORIA;1;46A;EUSKARA;HISTORIAURREKO GIZARTE EHIZTARIAK ETA BILTZAILEAK
HISTORIA / HISTORIA;1;46B;EUSKARA;HISTORIAURREKO GIZARTE EHIZTARIAK ETA BILTZAILEAK
HISTORIA / HISTORIA;2;46;EUSKARA;ARKEOLOGIA
HISTORIA / HISTORIA;2;16;CASTELLANO;ARQUEOLOGÍA
HISTORIA / HISTORIA;3;31;EUSKARA;ERDI AROAREN HISTORIA II: EUROPA FEUDALA
HISTORIA / HISTORIA;3;01;CASTELLANO;HISTORIA MEDIEVAL II: EUROPA FEUDAL
HISTORIA / HISTORIA;4;01;CASTELLANO;PREHISTORIA DE LA PENINSULA IBERICA
HISTORIA / HISTORIA;4;31;EUSKARA;IBERIAR PENINTSULAREN HISTORIAURREA
HISTORIA DEL ARTE / ARTEAREN HISTORIA;1;46;EUSKARA;EKIALDE HURBILEKO ARTEAREN HISTORIA
HISTORIA DEL ARTE / ARTEAREN HISTORIA;1;16;CASTELLANO;HISTORIA DEL ARTE DEL PRÓXIMO ORIENTE
HISTORIA DEL ARTE / ARTEAREN HISTORIA;2;46;EUSKARA;MUSEOLOGIA ETA MUSEOGRAFIA
HISTORIA DEL ARTE / ARTEAREN HISTORIA;2;16;CASTELLANO;MUSEOLOGÍA Y MUSEOGRAFÍA
HISTORIA DEL ARTE / ARTEAREN HISTORIA;3;01;CASTELLANO;HISTORIA DEL ARTE DE LA ILUSTRACIÓN Y SIGLO XIX
HISTORIA DEL ARTE / ARTEAREN HISTORIA;3;31;EUSKARA;ILUSTRAZIOKO ETA XIX. MENDEKO ARTEAREN HISTORIA
HISTORIA DEL ARTE / ARTEAREN HISTORIA;4;01;CASTELLANO;INTRODUCCIÓN A LA CONSERVACIÓN DE BIENES ARTÍSTICOS
HISTORIA DEL ARTE / ARTEAREN HISTORIA;4;31;EUSKARA;ONDASUN ARTISTIKOEN KONTSERBAZIORAKO SARRERA
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;1;01;CASTELLANO;INFORMACIÓN Y DOCUMENTACIÓN PARA TRADUCTORES E INTÉRPRETES
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;1;31;EUSKARA;ITZULTZAILE - INTERPRETEENTZAKO INFORMAZIOA ETA DOKUMENTAZIOA
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;2;01;CASTELLANO;TEORÍA Y MODALIDADES DE LA INTERPRETACIÓN
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;2;31;EUSKARA;INTERPRETAZIOAREN TEORIA ETA MODALITATEAK
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;3;46;EUSKARA;A HIZKUNTZAREN TERMINOLOGIA
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;3;16;CASTELLANO;TERMINOLOGÍA DE LA LENGUA A
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;4;16;CASTELLANO;HISTORIA DE LA TRADUCCION A LA LENGUA A
TRADUCCIÓN E INTERPRETACIÓN / ITZULPENGINTZA ETA INTERPRETAZIOA;4;46;EUSKARA;A HIZKUNTZARAKO ITZULPENGINTZAREN HISTORIA
